,title,meterage,Year of construction,number of rooms,price,price per meter,Floor,Elevator,Parking,Warehouse
0,آپارتمان ۱۳۰ متری،سند شش دانگ,130.0,1402.0,3.0,4.55,0.035,1,1,1,1
3,150متر امامیه/2واحد فروشی در یک ساختمان,150.0,1402.0,3.0,4.9,0.032666,2,1,1,1
4,۷۰ متر/دو خواب/حاشیه صادقیه,70.0,1394.0,2.0,1.95,0.027857,5,1,1,1
6,۱۹۰متر صفر*فرامرز۲۵،رسالت,190.0,1402.0,3.0,9.5,0.05,5,1,1,1
7,۱۷۵متر صیاد*3نبش *ویو دار متریال برند*پلان اروپایی,175.0,1402.0,3.0,9.45,0.054,3,1,1,1
9,۹۰متر/سند‌آماده/اقدسیه۲۱        (تمیز و مرتب),90.0,1397.0,2.0,2.95,0.032777,4,1,1,1
10,115متری*میدان مجیدیه*دارای600تومن وام,115.0,1401.0,2.0,3.9,0.033913,3,1,1,1
12,157متر/فول امکانات/شیکوتمیز*شریف 1 ویو وکیل اباد*,157.0,1397.0,3.0,6.48,0.041273,3,1,1,1
13,آپارتمان ۱۴۰ متری صفر نوساز,140.0,1402.0,2.0,2.9,0.020714,2,1,0,1
14,230متر3خواب/2مستر/طبقه6/صفر بدون مشابه,230.0,1402.0,3.0,21.5,0.093478,6,1,1,1
15,۹۸ متری مجیدیه,98.0,1394.0,2.0,3.0,0.030612,3,1,1,1
16,اپارتمان ۱۴۵ متر عرض معبر ۲۰ متری/هاشمیه,145.0,1402.0,3.0,10.875,0.075,2,1,1,1
17,اپارتمان ۱۲۵ متری شیک,125.0,1402.0,2.0,5.4,0.0432,3,1,1,1
18,93متری /سندملکی/نورگیر,93.0,1398.0,2.0,3.29,0.035376,1,1,1,1
19,آپارتمان ۱۶۵ متری قبل چهار راه دانشجو،فول امکانات,165.0,1402.0,3.0,7.2,0.043636,6,1,1,1
20,اقبال ۱۳۵ متر ۳ خواب,135.0,1402.0,3.0,6.0,0.044444,3,1,1,1
21,آپارتمان فروشی واقع در بلوار دانش آموز 164 متر,164.0,1402.0,3.0,7.65,0.046646,3,1,1,1
22,اقبال ۹۵  دو خواب صفر,95.0,1402.0,2.0,4.3,0.045263,3,1,1,1
23,آپارتمان 85 متر سفت کاری 25 متر حیاط,85.0,1402.0,1.0,0.405,0.004764,2,0,0,1
